Clave,Nombre,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos
20107,San Antonio de la Cal,116,14,3,3,25,17,54,124,11,1,4,27,22,59,67,9,1,0,16,21,20,126,19,2,1,25,33,46,262,40,4,0,60,43,115,283,29,18,4,57,45,130
20108,San Antonio Huitepec,6,0,0,0,0,1,5,6,0,0,1,1,0,4,5,0,1,0,0,2,2,0,0,0,0,0,0,0,21,0,0,0,2,2,17,5,0,0,4,1,0,0
20109,San Antonio Nanahuatípam,8,0,0,1,2,1,4,4,0,0,0,1,0,3,9,0,0,1,1,0,7,0,0,0,0,0,0,0,16,5,0,0,1,1,9,0,0,0,0,0,0,0
20110,San Antonio Sinicahua,1,0,0,0,1,0,0,2,0,0,0,0,0,2,ND,ND,ND,ND,ND,ND,ND,4,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20111,San Antonio Tepetlapa,6,1,0,0,1,0,4,9,0,0,2,1,0,6,21,2,0,1,5,3,10,23,2,0,1,4,3,13,15,2,0,5,4,0,4,7,2,0,1,1,0,3
20112,San Baltazar Chichicápam,17,1,0,2,3,0,11,21,2,0,1,5,3,10,24,2,0,0,6,3,13,21,3,0,2,2,0,14,15,2,0,4,2,0,7,24,0,2,1,3,2,16
20113,San Baltazar Loxicha,5,1,0,1,1,0,2,7,1,0,2,0,3,1,5,1,0,0,0,3,1,5,0,0,2,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3
20114,San Baltazar Yatzachi el Bajo,ND,ND,ND,ND,ND,ND,ND,2,0,0,0,1,0,1,5,0,0,1,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
20115,San Bartolo Coyotepec,51,3,2,1,7,6,32,59,9,2,4,8,9,27,44,2,2,3,15,10,12,45,6,0,2,6,16,15,140,28,1,4,33,32,42,305,74,3,2,75,57,94
20116,San Bartolomé Ayautla,22,1,1,2,2,2,14,4,0,0,0,1,0,3,18,2,2,1,1,3,9,1,0,0,0,0,0,1,109,0,0,0,68,0,41,0,0,0,0,0,0,0
20117,San Bartolomé Loxicha,9,0,0,2,0,1,6,6,0,0,1,3,0,2,3,1,1,0,0,0,1,11,1,0,4,0,2,4,9,0,0,1,0,1,7,11,0,0,1,0,0,10
20118,San Bartolomé Quialana,17,0,0,1,5,1,10,6,0,1,2,0,0,3,10,0,1,1,1,1,6,3,0,0,1,0,1,1,2,0,0,1,1,0,0,5,0,0,0,2,2,1
20119,San Bartolomé Yucuañe,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120,San Bartolomé Zoogocho,1,0,0,0,0,0,1,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1
20121,San Bartolo Soyaltepec,ND,ND,ND,ND,ND,ND,ND,4,0,0,0,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20122,San Bartolo Yautepec,3,0,0,1,0,0,2,5,2,0,0,0,0,3,2,1,0,0,0,0,1,2,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
20123,San Bernardo Mixtepec,11,0,2,3,2,1,3,15,1,1,1,4,2,6,13,3,0,0,3,0,7,9,1,1,0,0,2,5,20,2,1,1,4,7,5,70,1,0,0,1,3,65
20124,San Blas Atempa,89,4,4,2,15,10,54,55,2,2,1,12,14,24,57,2,2,2,8,9,34,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20125,San Carlos Yautepec,69,2,5,6,11,9,36,73,6,1,4,13,9,40,76,8,1,18,13,8,28,83,7,4,12,26,7,27,196,8,9,15,42,18,104,44,6,1,7,7,8,15
20126,San Cristóbal Amatlán,24,2,0,3,7,6,6,9,0,0,2,2,1,4,7,1,0,1,0,3,2,11,3,0,1,2,2,3,28,6,1,1,6,1,13,6,0,0,0,2,2,2
20127,San Cristóbal Amoltepec,7,0,0,0,2,1,4,7,1,1,0,1,1,3,3,0,0,1,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20128,San Cristóbal Lachirioag,6,0,1,2,0,0,3,9,1,0,2,3,2,1,5,0,0,3,1,0,1,9,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20129,San Cristóbal Suchixtlahuaca,4,0,0,0,0,2,2,1,0,0,1,0,0,0,11,3,0,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130,San Dionisio del Mar,1,1,0,0,0,0,0,7,1,0,0,2,0,4,9,0,1,0,1,3,4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20131,San Dionisio Ocotepec,34,2,3,6,5,1,17,18,3,1,0,1,3,10,29,2,0,2,6,4,15,14,0,1,2,4,1,6,26,3,5,4,5,3,6,15,0,0,0,2,1,12
20132,San Dionisio Ocotlán,11,1,0,0,4,1,5,5,0,0,1,0,2,2,6,0,1,0,2,1,2,7,0,0,0,0,5,2,9,0,0,1,4,3,1,10,1,0,2,0,0,7
20133,San Esteban Atatlahuca,12,1,0,4,2,1,4,6,0,0,1,1,2,2,15,1,1,1,5,3,4,4,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1
20134,San Felipe Jalapa de Díaz,50,0,2,4,10,4,30,49,0,2,4,7,4,32,81,13,5,7,19,10,27,64,1,3,6,13,4,37,52,0,4,2,18,2,26,39,4,0,0,2,9,24
20135,San Felipe Tejalápam,31,4,2,7,11,3,4,25,3,0,1,6,4,11,41,4,3,4,9,2,19,38,1,0,3,14,7,13,172,39,0,3,7,43,80,55,3,2,2,25,4,19
20136,San Felipe Usila,39,3,2,5,3,6,20,36,1,1,1,6,5,22,29,1,3,3,3,4,15,24,1,1,2,3,3,14,63,4,2,1,8,17,31,48,7,0,3,4,7,27
20137,San Francisco Cahuacuá,7,0,1,1,1,0,4,7,0,0,2,2,0,3,6,0,3,0,0,0,3,15,0,0,5,1,3,6,25,0,0,1,12,0,12,11,0,2,0,0,2,7
20138,San Francisco Cajonos,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,0,2,0,0,1,0,0,0,0,0,0,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0,0
20139,San Francisco Chapulapa,8,0,0,3,0,2,3,8,0,0,2,1,2,3,3,3,0,0,0,0,0,10,3,0,1,3,1,2,6,0,0,3,1,2,0,0,0,0,0,0,0,0
20140,San Francisco Chindúa,2,0,0,0,1,0,1,4,0,0,0,0,1,3,ND,ND,ND,ND,ND,ND,ND,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141,San Francisco del Mar,62,9,4,6,17,7,19,28,3,3,3,4,5,10,10,2,1,0,4,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20142,San Francisco Huehuetlán,7,0,0,2,0,0,5,3,0,0,0,2,0,1,3,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20143,San Francisco Ixhuatán,90,7,3,2,13,30,35,78,7,4,6,15,14,32,49,3,1,4,9,14,18,20,1,0,0,0,1,18,8,0,0,0,2,2,4,0,0,0,0,0,0,0
20144,San Francisco Jaltepetongo,1,0,1,0,0,0,0,4,1,0,1,0,0,2,ND,ND,ND,ND,ND,ND,ND,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145,San Francisco Lachigoló,15,2,0,1,1,1,10,32,5,0,3,2,5,17,28,6,2,2,4,2,12,25,5,0,2,7,5,6,41,4,1,0,3,8,25,37,0,0,0,2,2,33
20146,San Francisco Logueche,3,0,1,0,0,2,0,ND,ND,ND,ND,ND,ND,ND,3,0,0,2,1,0,0,2,1,0,1,0,0,0,6,0,0,3,3,0,0,2,0,0,0,0,1,1
20147,San Francisco Nuxaño,1,0,1,0,0,0,0,3,0,0,0,1,0,2,ND,ND,ND,ND,ND,ND,ND,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20148,San Francisco Ozolotepec,6,1,1,1,0,0,3,4,0,0,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20149,San Francisco Sola,15,1,0,0,2,3,9,4,1,0,0,0,0,3,11,3,0,1,3,1,3,6,1,0,0,1,2,2,4,1,0,1,0,0,2,6,2,0,0,0,0,4
20150,San Francisco Telixtlahuaca,94,7,0,5,22,8,52,89,8,1,4,21,10,45,128,16,7,6,25,14,60,93,7,6,2,22,18,38,178,13,1,2,48,34,80,190,31,5,6,28,24,96
20151,San Francisco Teopan,1,0,0,0,0,0,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20152,San Francisco Tlapancingo,3,0,1,0,2,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20153,San Gabriel Mixtepec,34,3,1,2,7,7,14,14,3,2,0,1,1,7,20,3,0,2,3,7,5,41,5,0,4,13,10,9,94,9,0,1,14,10,60,156,31,0,3,41,15,66
20154,San Ildefonso Amatlán,4,0,0,0,1,0,3,ND,ND,ND,ND,ND,ND,ND,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0
20155,San Ildefonso Sola,10,0,0,0,4,1,5,5,0,0,3,0,0,2,2,0,0,0,2,0,0,5,0,0,0,3,1,1,6,0,0,0,2,1,3,1,0,0,0,0,1,0
20156,San Ildefonso Villa Alta,67,1,2,1,14,2,47,73,10,3,2,15,7,36,54,7,2,3,16,1,25,77,9,4,4,16,0,44,33,0,7,0,11,2,13,8,0,0,1,0,0,7
20157,San Jacinto Amilpas,46,4,2,0,7,8,25,108,12,2,0,32,20,42,32,7,1,0,8,7,9,74,12,3,0,16,16,27,326,35,0,1,63,28,199,240,12,6,0,62,73,87
20158,San Jacinto Tlacotepec,11,0,1,3,2,0,5,5,0,0,1,0,0,4,4,0,0,1,1,1,1,8,0,0,1,2,2,3,5,0,0,5,0,0,0,6,0,0,3,0,2,1
20159,San Jerónimo Coatlán,20,0,2,4,2,0,12,6,1,0,2,1,0,2,10,0,0,3,2,2,3,3,1,0,0,0,2,0,11,5,0,2,2,2,0,164,0,3,1,1,157,2
20160,San Jerónimo Silacayoapilla,11,1,1,1,2,2,4,15,1,0,2,4,2,6,8,1,0,0,2,1,4,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161,San Jerónimo Sosola,25,1,3,1,8,1,11,9,1,1,0,2,2,3,25,2,3,2,4,1,13,21,2,2,1,3,2,11,10,1,0,0,1,0,8,16,0,0,0,9,1,6
20162,San Jerónimo Taviche,1,0,0,0,0,0,1,2,0,0,0,1,0,1,2,1,0,0,0,0,1,5,1,0,0,0,1,3,98,15,1,0,38,42,2,4,1,0,0,0,0,3
20163,San Jerónimo Tecóatl,11,1,0,1,3,2,4,12,0,0,0,1,0,11,6,1,0,2,2,0,1,15,2,0,0,2,4,7,7,1,0,2,1,2,1,1,0,0,1,0,0,0
20164,San Jorge Nuchita,8,0,1,1,1,0,5,10,0,0,0,4,0,6,3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20165,San José Ayuquila,19,1,0,3,3,2,10,9,0,0,1,3,1,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
20166,San José Chiltepec,26,4,1,1,4,0,16,25,0,4,1,2,3,15,33,1,1,2,5,10,14,32,6,1,0,6,6,13,135,0,0,0,46,36,53,31,0,0,3,5,4,19
20167,San José del Peñasco,11,0,0,1,2,6,2,4,0,0,0,1,0,3,11,0,0,1,2,1,7,4,0,0,0,1,2,1,5,0,1,1,0,0,3,0,0,0,0,0,0,0
20168,San José Estancia Grande,3,0,0,1,0,0,2,8,0,0,0,1,2,5,2,0,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0
20169,San José Independencia,9,0,0,3,1,0,5,10,0,0,0,4,2,4,8,1,1,0,2,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,44,6,0,0,4,6,28
20170,San José Lachiguiri,3,1,0,1,1,0,0,6,0,1,0,0,1,4,6,1,0,1,3,0,1,8,2,0,2,3,0,1,2,0,0,0,0,0,2,6,1,0,2,1,0,2
20171,San José Tenango,84,3,3,15,13,8,42,15,1,1,2,3,2,6,36,0,2,8,6,6,14,12,0,1,0,6,0,5,25,1,0,1,6,13,4,1,0,0,0,0,0,1
20172,San Juan Achiutla,ND,ND,ND,ND,ND,ND,ND,3,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20173,San Juan Atepec,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20174,Ánimas Trujano,9,0,0,0,5,2,2,32,2,0,1,4,4,21,14,2,1,0,3,2,6,10,1,1,0,1,6,1,43,2,0,0,13,3,25,125,16,2,0,47,8,52
20175,San Juan Bautista Atatlahuca,ND,ND,ND,ND,ND,ND,ND,13,2,0,0,1,3,7,2,1,0,0,0,1,0,16,1,0,1,5,6,3,22,1,0,0,4,3,14,4,1,0,0,0,2,1
20176,San Juan Bautista Coixtlahuaca,78,15,4,6,17,9,27,77,20,2,5,12,6,32,46,10,0,2,7,8,19,46,17,2,2,9,6,10,8,1,0,0,4,2,1,28,0,0,0,0,0,28
20177,San Juan Bautista Cuicatlán,118,13,5,7,26,23,44,142,22,4,9,28,25,54,114,16,3,11,16,24,44,179,20,6,11,46,37,59,219,18,14,8,57,43,79,112,16,5,3,13,19,56
20178,San Juan Bautista Guelache,42,4,0,2,5,6,25,43,4,0,1,6,8,24,39,6,0,3,9,10,11,63,7,0,0,22,18,16,79,4,2,4,11,26,32,62,2,1,4,9,16,30
20179,San Juan Bautista Jayacatlán,9,2,0,3,1,0,3,9,1,3,0,0,1,4,6,4,0,0,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,2,1,13,0,0,0,2,0,11
20180,San Juan Bautista Lo de Soto,9,1,0,0,1,2,5,10,0,0,2,1,2,5,9,0,0,0,0,5,4,12,2,0,2,2,5,1,15,1,1,1,6,3,3,0,0,0,0,0,0,0
20181,San Juan Bautista Suchitepec,ND,ND,ND,ND,ND,ND,ND,2,0,0,0,0,0,2,ND,ND,ND,ND,ND,ND,ND,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20182,San Juan Bautista Tlacoatzintepec,6,0,1,3,0,1,1,3,0,0,0,1,1,1,2,0,0,0,0,0,2,8,1,0,1,2,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,6
20183,San Juan Bautista Tlachichilco,3,0,0,1,0,0,2,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20184,San Juan Bautista Tuxtepec,4222,334,122,155,550,1081,1980,3538,338,52,103,514,864,1667,3140,387,68,84,499,988,1114,2693,366,29,89,428,903,878,2951,236,76,37,463,913,1226,2313,154,1,47,292,682,1137
20185,San Juan Cacahuatepec,71,9,3,6,14,7,32,67,7,1,3,5,12,39,74,12,3,6,11,10,32,67,5,5,4,17,13,23,98,13,0,2,10,30,43,59,4,1,4,3,15,32
20186,San Juan Cieneguilla,ND,ND,ND,ND,ND,ND,ND,3,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20187,San Juan Coatzóspam,8,1,1,2,0,0,4,6,1,0,0,1,1,3,8,1,0,1,1,2,3,3,0,0,1,1,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0
20188,San Juan Colorado,14,2,0,4,1,1,6,11,2,0,0,2,1,6,19,2,1,2,0,1,13,8,0,0,1,0,3,4,13,2,0,1,7,2,1,0,0,0,0,0,0,0
20189,San Juan Comaltepec,8,0,0,1,0,2,5,5,0,0,1,1,1,2,4,0,0,1,0,1,2,7,0,0,1,0,0,6,5,0,1,0,0,4,0,0,0,0,0,0,0,0
20190,San Juan Cotzocón,112,12,6,10,11,16,57,132,9,6,13,19,25,60,53,8,1,4,7,9,24,15,0,0,2,3,1,9,268,39,4,5,32,75,113,138,10,5,4,24,27,68
20191,San Juan Chicomezúchil,5,0,0,0,2,0,3,1,0,0,1,0,0,0,4,0,0,2,0,1,1,4,2,0,0,2,0,0,4,0,0,0,0,0,4,2,0,0,0,1,0,1
20192,San Juan Chilateca,3,0,0,2,0,0,1,12,1,0,3,3,0,5,7,1,0,0,2,1,3,17,1,0,0,6,7,3,8,0,0,1,0,4,3,8,1,0,0,0,0,7
20193,San Juan del Estado,19,2,1,4,1,2,9,25,3,1,0,8,3,10,13,1,0,3,1,4,4,16,0,1,1,6,4,4,36,2,0,2,11,3,18,21,2,0,3,3,0,13
20194,San Juan del Río,8,0,0,2,2,1,3,13,1,0,2,0,2,8,10,3,0,0,1,1,5,0,0,0,0,0,0,0,9,0,0,0,1,2,6,1,0,0,1,0,0,0
20195,San Juan Diuxi,12,0,0,2,4,1,5,7,1,0,1,2,1,2,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20196,San Juan Evangelista Analco,1,0,0,0,0,1,0,2,0,0,0,1,0,1,4,0,0,0,0,0,4,1,0,0,0,0,1,0,5,0,0,0,4,0,1,1,0,0,1,0,0,0
20197,San Juan Guelavía,42,3,0,1,8,3,27,22,3,3,2,3,1,10,22,0,0,0,3,6,13,9,0,0,1,1,1,6,12,0,0,1,7,1,3,13,3,0,0,1,1,8
20198,San Juan Guichicovi,130,8,3,13,22,22,62,175,14,9,9,39,16,88,127,8,4,11,25,17,62,12,0,1,1,0,1,9,4,0,0,0,0,1,3,21,0,0,0,5,4,12
20199,San Juan Ihualtepec,ND,ND,ND,ND,ND,ND,ND,5,0,0,0,2,1,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200,San Juan Juquila Mixes,23,0,0,5,7,3,8,15,2,0,2,0,1,10,6,0,0,1,1,0,4,13,3,0,3,1,2,4,26,0,2,1,6,0,17,26,7,2,0,1,2,14
20201,San Juan Juquila Vijanos,3,0,1,0,1,0,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
20202,San Juan Lachao,19,0,0,3,4,1,11,8,2,0,1,1,0,4,4,0,1,0,0,1,2,2,0,0,1,1,0,0,4,2,0,0,1,0,1,13,3,0,1,1,0,8
20203,San Juan Lachigalla,5,0,0,0,0,3,2,4,1,0,3,0,0,0,4,1,1,2,0,0,0,5,0,0,4,0,1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0
20204,San Juan Lajarcia,5,2,0,0,1,0,2,5,1,0,0,0,0,4,4,1,0,2,0,0,1,14,2,0,2,3,3,4,4,2,0,0,0,1,1,2,0,0,0,2,0,0
20205,San Juan Lalana,41,2,0,3,5,5,26,60,6,2,0,8,9,35,26,4,2,3,4,3,10,5,1,0,0,1,1,2,173,28,2,2,4,27,110,33,1,0,4,3,1,24
20206,San Juan de los Cués,10,0,0,2,0,2,6,15,1,1,0,1,0,12,4,0,0,1,1,1,1,1,0,1,0,0,0,0,6,1,0,0,1,2,2,75,1,0,0,3,1,70
20207,San Juan Mazatlán,94,10,4,14,13,13,40,49,1,1,3,9,10,25,20,1,0,4,5,4,6,0,0,0,0,0,0,0,31,2,0,6,13,2,8,68,2,2,3,13,10,38
20208,San Juan Mixtepec -Dto. 08 -,38,2,4,11,2,5,14,32,3,1,1,5,0,22,42,3,1,4,5,6,23,31,1,1,2,4,6,17,23,2,0,0,10,2,9,14,0,0,0,4,2,8
20209,San Juan Mixtepec -Dto. 26 -,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210,San Juan Ñumí,12,1,0,2,2,1,6,5,1,0,1,0,1,2,13,1,0,3,3,0,6,12,0,1,2,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20211,San Juan Ozolotepec,4,0,0,3,1,0,0,2,0,0,2,0,0,0,7,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,3,0,0,0
20212,San Juan Petlapa,6,0,0,1,2,1,2,6,1,0,1,2,0,2,3,0,1,2,0,0,0,8,1,0,3,2,0,2,6,0,0,0,2,2,2,6,0,0,0,0,0,6
20213,San Juan Quiahije,5,0,0,1,0,2,2,9,0,1,4,2,0,2,12,1,0,2,2,1,6,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
20214,San Juan Quiotepec,15,0,0,2,3,1,9,1,1,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,6,3,0,1,1,1,0,4,0,0,3,0,0,1
20215,San Juan Sayultepec,ND,ND,ND,ND,ND,ND,ND,4,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20216,San Juan Tabaá,1,0,0,1,0,0,0,1,0,0,0,0,0,1,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,0,0,1,6,0,0,0,3,0,3,4,0,0,0,0,0,4
20217,San Juan Tamazola,24,0,1,3,8,2,10,12,1,2,0,3,0,6,14,1,0,0,2,1,10,10,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20218,San Juan Teita,3,0,0,2,1,0,0,3,0,0,0,2,0,1,2,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20219,San Juan Teitipac,17,2,3,0,1,1,10,26,5,1,0,2,5,13,19,1,0,0,3,5,10,14,2,0,1,2,3,6,24,2,0,1,5,7,9,5,0,0,1,1,2,1
20220,San Juan Tepeuxila,18,3,1,3,3,0,8,6,1,0,1,1,0,3,5,0,0,3,2,0,0,5,0,0,0,1,0,4,11,0,0,5,4,2,0,0,0,0,0,0,0,0
20221,San Juan Teposcolula,4,0,0,0,0,1,3,6,0,1,0,0,2,3,5,1,0,3,0,1,0,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20222,San Juan Yaeé,9,1,0,0,2,0,6,3,0,0,1,2,0,0,9,0,0,1,3,2,3,2,0,0,0,1,0,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0
20223,San Juan Yatzona,3,0,0,0,0,0,3,ND,ND,ND,ND,ND,ND,ND,14,1,0,0,3,0,10,14,3,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20224,San Juan Yucuita,7,1,0,0,0,1,5,1,0,0,0,1,0,0,10,1,0,0,3,0,6,7,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20225,San Lorenzo,13,1,1,1,4,1,5,18,1,0,2,4,2,9,12,1,2,3,2,0,4,2,0,0,0,2,0,0,60,5,0,3,8,6,38,39,7,0,4,14,5,9
20226,San Lorenzo Albarradas,24,1,0,1,1,7,14,15,1,0,0,4,3,7,22,3,0,2,3,4,10,9,0,1,0,4,1,3,3,0,0,2,0,0,1,9,1,0,0,1,0,7
20227,San Lorenzo Cacaotepec,96,8,6,6,15,15,46,129,11,4,3,21,22,68,152,15,7,8,37,22,63,107,13,1,6,22,21,44,338,55,1,4,75,68,135,197,6,4,3,59,37,88
20228,San Lorenzo Cuaunecuiltitla,1,0,0,0,1,0,0,1,0,0,0,0,0,1,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0
20229,San Lorenzo Texmelúcan,10,0,2,2,2,2,2,19,3,1,3,5,1,6,11,1,1,1,2,0,6,15,0,0,10,2,3,0,12,0,0,3,5,0,4,13,0,0,3,0,1,9
20230,San Lorenzo Victoria,7,0,2,2,2,0,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231,San Lucas Camotlán,3,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,1,54,2,0,1,27,0,24,16,0,1,4,3,1,7
20232,San Lucas Ojitlán,126,9,4,7,18,12,76,87,2,7,3,12,14,49,126,4,4,14,16,14,74,72,8,4,1,13,13,33,65,11,2,2,7,12,31,113,17,0,5,25,34,32
20233,San Lucas Quiaviní,7,1,0,1,1,0,4,7,1,0,0,1,0,5,12,2,1,0,1,1,7,2,0,0,0,0,0,2,7,0,0,0,1,3,3,0,0,0,0,0,0,0
20234,San Lucas Zoquiápam,35,2,3,8,5,0,17,36,1,0,5,8,0,22,22,1,0,7,9,1,4,12,0,2,2,4,2,2,58,0,1,0,30,0,27,0,0,0,0,0,0,0
20235,San Luis Amatlán,20,0,0,4,3,1,12,23,1,0,3,2,5,12,17,3,0,2,5,1,6,8,0,0,2,3,2,1,14,0,0,2,1,0,11,73,4,0,1,0,9,59
20236,San Marcial Ozolotepec,10,0,0,2,3,1,4,5,1,0,1,0,0,3,5,1,1,1,0,1,1,2,0,0,1,1,0,0,7,0,0,2,2,0,3,1,0,0,1,0,0,0
20237,San Marcos Arteaga,17,1,0,2,2,0,12,8,1,0,1,1,1,4,16,2,1,1,3,2,7,4,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20238,San Martín de los Cansecos,7,1,0,1,0,2,3,6,0,0,0,0,5,1,3,0,0,0,2,0,1,16,0,1,2,2,8,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20239,San Martín Huamelúlpam,3,0,0,0,2,0,1,3,1,0,1,0,1,0,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20240,San Martín Itunyoso,10,1,0,1,3,2,3,7,0,0,1,2,1,3,11,2,1,2,1,1,4,8,1,0,0,2,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20241,San Martín Lachilá,12,3,1,1,1,2,4,3,0,0,0,1,0,2,10,3,0,0,0,1,6,4,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0
